node_name,machine_hall,cpu_model
idagpu-17,boyd-orr,ryzen-3955wx
idagpu-18,boyd-orr,ryzen-3955wx
idagpu-11,boyd-orr,ryzen-3975wx
idagpu-10,boyd-orr,ryzen-3975wx
idagpu-12,boyd-orr,ryzen-3975wx
idagpu-13,boyd-orr,ryzen-3975wx
os-gpu-11,boyd-orr,ryzen-5955wx
os-gpu-12,boyd-orr,ryzen-5955wx
idagpu-21,sawb,ryzen-5965wx
idagpu-19,sawb,ryzen-5965wx
idagpu-23,lb-g121,ryzen-5965wx
idagpu-20,sawb,ryzen-5965wx
idagpu-22,lb-g121,ryzen-5965wx
os-gpu-09,lb-g121,ryzen-7950x
os-gpu-06,lb-g121,ryzen-7950x
os-gpu-07,lb-g121,ryzen-7950x
os-gpu-08,lb-g121,ryzen-7950x
os-gpu-10,lb-g121,ryzen-7950x
os-gpu-05,lb-g121,ryzen-7950x
os-gpu-02,lb-g121,ryzen-7950x
os-gpu-03,lb-g121,ryzen-7950x
os-gpu-04,lb-g121,ryzen-7950x
os-gpu-01,lb-g121,ryzen-7950x
trnode14,sawb,xeon-2620
idagpu-08,lb-g121,xeon-5222
idagpu-head,boyd-orr,xeon-5222
idagpu-05,boyd-orr,xeon-6244
idagpu-04,boyd-orr,xeon-6244
